antoniorossi_avvocato@gmail.com,G878H_924llr,Antonio,Rossi,Napoli
laura_giannicchi85@libero.it,Nonricordolepassword!,Laura,Giannicchi,Genova
dottoresposito_sandro@gmail.com,amoilmiolavoro98564,Sandro,Esposito,Brindisi
labellavita_eventi@gmail.com,Festafinoallalba!,Antonella,Serenate,Rimini
gioiadesigner@gmail.com,Giardino12!,Gioia,Corradi,Perugia
marcobianchi79@libero.it,GiovannaStruzzi74,Marco,Bianchi,Bari
erborista_elenafranchi@gmail.com,Orchidea55446,Elena,Franchi,Torino
viaggiatrice.giramondo99@gmail.com,amoilMare99!,Federica,Giri,Firenze
party_animal90@libero.it,6belloesimpatico6,Alberto,Necchi,Palermo
lapiccola_biblioteca@libero.it,iLibrirendonoLiberi!,Luna,Marini,Roma
mangashop_iamotaku@libero.it,Noragami3!,Lorenzo,Foti,Messina
giuliasilvestri04@gmail.com,8Amoreinfinito8,Giulia,Silvestri,Ravenna
trecce_e_parrucche@gmail.com,CapelliPerfetti!,Claudia,Caterini,Foggia
luxurydress_boutique@gmail.com,Setaechiffon4523!,Rita,Eleganti,Milano
videogiochichepassione.shop@gmail.com,LinkisnotZelda!,Francesca,Orselli,Latina
robertafelici93@libero.it,MyFamilyMyLove,Roberta,Felici,Trieste
marcodiscolover86@libero.it,spiritoLibbero4ever,Marco,Acciughi,Salerno
otticopietro.ancelli@libero.it,Occhiali786,Pietro,Ancelli,Bergamo
giovanni.muraccia98@gmail.com,Attackonart!,Giovanni,Muraccia,Como
alexia95@gmail.com,LamiglioreSempre,Alessia,Stella,Lucca
